Provincia.string()	Municipio.string()	Dirección.string()	Margen.string()	Toma de datos.string()	Precio.double()	Rótulo.string()	Tipo venta.string()	Rem.string()	Horario.string()
SANTA CRUZ DE TENERIFE	CHAFIRAS (LAS)           	AVENIDA MODESTO HERNANDEZ GONZALEZ, 7	D	21/12/2016 12:00	0.799	PCAN	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	ADEJE                    	CALLE CHARFA ESQUINA AVENIDA LAS PALMITAS, S/N	D	19/12/2016 15:16	0.799	GMOIL	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	PALO BLANCO-LLANADAS     	CARRETERA TF-326 KM. 4,159	D	20/12/2016 10:59	0.808	REPSOL	P	dm	L-D: 06:30-00:00
SANTA CRUZ DE TENERIFE	CHAFIRAS (LAS)           	CARRETERA CARRETEA GENERAL A LAS GALLETAS-CHAFIRAS KM. S/N	I	21/12/2016 17:00	0.819	DISA LAS CHAFIRAS	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	VICTORIA DE ACENTEJO (LA)	CARRETERA CTRA. GRAL. DEL  NORTE KM. 27	I	20/12/2016 06:00	0.819	SHELL	P	dm	L-V: 06:00-22:00; S-D: 07:00-21:00
SANTA CRUZ DE TENERIFE	ZOCAS (LAS)              	CARRETERA TF-65 KM. 3,9	I	20/12/2016 21:19	0.855	REPSOL	P	dm	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	MEDANO (EL)              	CARRETERA TF64 GRANADILLA - EL MEDANO KM. 7,7	I	21/12/2016 13:04	0.855	TGAS EL MÉDANO	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	GRANADILLA DE ABONA      	CARRETERA GRANADILLA MEDANO KM. 2,25	I	19/12/2016 09:40	0.855	CEPSA LOS LLANOS - GRANADILLA	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	SAN ISIDRO               	AVENIDA SANTA CRUZ, SN	D	20/12/2016 11:37	0.855	DISA SAN ISIDRO	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	SAN MIGUEL               	CARRETERA GENERAL DEL SUR KM. 80,8	I	20/12/2016 00:00	0.855	ESTACION  SAN MIGUEL	P	dm	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	GRANADILLA DE ABONA      	AVENIDA FUNDADOR GONZALO GONZALEZ, S/N	N	21/12/2016 15:48	0.855	DISA	P	dm	L-D: 06:00-23:00
SANTA CRUZ DE TENERIFE	ARICO NUEVO	CARRETERA TF-822 KM. 50	N	20/12/2016 19:19	0.856	DISA	P	dm	L-V: 06:00-22:00; S-D: 07:00-20:00
SANTA CRUZ DE TENERIFE	FASNIA                   	CARRETERA LOS ROQUES KM. 6,5	D	20/12/2016 19:18	0.856	DISA	P	dm	L-S: 06:00-22:00; D: 07:00-14:00
SANTA CRUZ DE TENERIFE	ESCOBONAL (EL)           	AVENIDA AXAENTEMIR, S/N	N	20/12/2016 07:00	0.856	EL ESCOBONAL	P	dm	L-S: 07:00-21:00; D: 08:00-14:00
SANTA CRUZ DE TENERIFE	GÜIMAR                   	POLIGONO INDUSTRIAL VALLE DE GÜIMAR MZ. 13, PC. 10, S/N	N	19/12/2016 10:41	0.858	OCÉANO	P	dm	L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-21:00
SANTA CRUZ DE TENERIFE	CHAFIRAS (LAS)           	AVENIDA LUCIO DIAZ FLORES FEO, MZ 27, FINCA 11B, S7N	N	19/12/2016 10:43	0.858	OCEANO	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	ARAFO                    	ACCESO CARRETERA A LA HIDALGA, S/N	I	15/12/2016 09:07	0.859	CEPSA	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	GENETO                   	CAMINO SAN MIGUEL DE GENETO, 148	D	21/12/2016 00:00	0.859	REPSOL	P	OM	L: 24H
SANTA CRUZ DE TENERIFE	TACO                     	CALLE LIBERTAD, S/N	D	21/12/2016 10:00	0.859	REPSOL	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	SAN ISIDRO               	CARRETERA TF-1 KM. 54	D	17/12/2016 16:31	0.859	REPSOL	P	dm	L-D: 06:00-00:00
SANTA CRUZ DE TENERIFE	CISNERA	CARRETERA GENERAL DEL SUR KM. 62	D	21/12/2016 00:00	0.859	REPSOL	P	OM	L: 06:30-22:00
SANTA CRUZ DE TENERIFE	EL SAUZAL	AUTOPISTA TF-5 KM. 22,5	I	21/12/2016 00:00	0.859	REPSOL	P	OM	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	ARICO	CARRETERA TF-1 KM. 44,2	I	21/12/2016 00:00	0.859	REPSOL	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	SAN ISIDRO               	CARRETERA TF-1 KM. 54	I	17/12/2016 16:33	0.859	REPSOL	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	FASNIA                   	AUTOVIA TF-1 KM. 36,5	I	21/12/2016 00:00	0.859	REPSOL	P	OM	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE   	POLIGONO EL MAYORAZGO, S/N	N	21/12/2016 10:32	0.859	TGAS-TU TRÉBOL	P	dm	L-S: 07:30-21:00; D: 08:00-14:00
SANTA CRUZ DE TENERIFE	ADEJE                    	AUTOPISTA TF1 AUTOPISTA SUR A ARMEÑIME, CRUCE LA CALETA KM. S/N	N	21/12/2016 10:34	0.859	TGAS-TU TRÉBOL	P	dm	L-S: 08:30-21:00
SANTA CRUZ DE TENERIFE	CANDELARIA               	CALLE LAS BICHAS, S/N	N	20/12/2016 00:00	0.859	DISA CANDELARIA	P	OM	L-D: 06:00-23:00
SANTA CRUZ DE TENERIFE	ICOD DE LOS VINOS        	AVENIDA PRINCIPES DE ESPAÑA, 40	N	20/12/2016 18:15	0.859	DISA ICOD DE LOS VINOS	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	ARAFO                    	CARRETERA ARAFO LA HIDALGA TF-413 KM. 1	D	15/12/2016 13:15	0.859	REPSOL	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	ICOD DE LOS VINOS        	CALLE FRANCISCO MIRANDA, 1	N	20/12/2016 18:15	0.859	SHELL ICOD DE LOS VINOS	P	OM	L-S: 05:00-00:30; D: 06:00-20:30
SANTA CRUZ DE TENERIFE	ARONA	AUTOPISTA DEL SUR, PF 70,5 MARG. IZQ.	N	20/12/2016 00:00	0.859	SHELL LOS CRISTIANOS	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	ARONA	AUTOPISTA TF-1 km 65,5	I	20/12/2016 00:00	0.859	SHELL ARONA	P	OM	L-D: 05:00-00:00
SANTA CRUZ DE TENERIFE	ICOD DE LOS VINOS        	CARRETERA GENERAL C-820 KM. 52,7	N	21/12/2016 13:07	0.859	CEPSA ICOD DE LOS VINOS	P	dm	L-V: 05:30-22:30; S: 06:00-22:30; D: 06:00-22:00
SANTA CRUZ DE TENERIFE	PORIS DE ABONA           	AUTOVIA TF-1 KM. 39	I	17/12/2016 16:34	0.859	REPSOL	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	ARONA	CARRETERA GRAL TF-66(GUAZA-GALLE KM. 2	D	21/12/2016 00:00	0.859	REPSOL	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	ARAFO                    	PLAZA IND VALLE GUIMAR MANZ-, S/N	D	21/12/2016 10:00	0.859	REPSOL	P	OM	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	EL SAUZAL	CR TF-172, 0,9	D	20/12/2016 20:12	0.862	CEPSA	P	dm	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	CUESTA, LA               	AVENIDA LOS MENCEYES, 223	D	21/12/2016 10:18	0.868	PCAN	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	SANTA URSULA             	CARRETERA VIEJA KM. 213	I	21/12/2016 00:00	0.869	REPSOL	P	dm	L-J: 06:00-00:00; V-S: 06:00-01:00; D: 07:00-00:00
SANTA CRUZ DE TENERIFE	PERDOMA (LA)             	CARRETERA TF-324 KM. 2	D	21/12/2016 10:00	0.869	REPSOL	P	OM	L-D: 06:00-22:00
